ThisIsATest.csv,,Core 1,,,,,,,Core 2,,,,,,
,Timestamp,TFE id,TFE min speed,TFE max speed,TFE located,TFE block,TFE abscissa,TFE direction,TFE id,TFE min speed,TFE max speed,TFE located,TFE block,TFE abscissa,TFE direction
,2022-06-22 11:19:24.2,2,5.854,7.084,True,711,49.064,NA,,,,,,,
,2022-06-22 11:19:24.4,2,5.854,7.084,True,711,48.694,NA,,,,,,,
,2022-06-22 11:19:24.6,2,5.467,6.697,True,711,48.346,NA,,,,,,,
,2022-06-22 11:19:24.8,2,5.854,7.084,True,711,47.976,NA,,,,,,,
,2022-06-22 11:19:25.0,2,5.854,7.084,True,711,47.606,NA,,,,,,,
,2022-06-22 11:19:25.2,2,5.467,6.697,True,711,47.258,NA,,,,,,,
,2022-06-22 11:19:25.4,2,5.854,7.084,True,711,46.888,NA,,,,,,,
,2022-06-22 11:19:25.6,2,5.467,6.697,True,711,46.540,NA,,,,,,,
,2022-06-22 11:19:25.8,2,5.854,7.084,True,711,46.170,NA,,,,,,,
,2022-06-22 11:19:26.0,2,5.467,6.697,True,711,45.822,NA,,,,,,,
,2022-06-22 11:19:26.2,2,5.467,6.697,True,711,45.474,NA,,,,,,,
,2022-06-22 11:19:26.4,2,5.854,7.084,True,711,45.104,NA,,,,,,,
,2022-06-22 11:19:26.6,2,5.467,6.697,True,711,44.756,NA,,,,,,,
,2022-06-22 11:19:26.8,2,5.467,6.697,True,711,44.407,NA,,,,,,,
,2022-06-22 11:19:27.0,2,5.467,6.697,True,711,44.060,NA,,,,,,,
,2022-06-22 11:19:27.2,2,5.467,6.697,True,711,43.711,NA,,,,,,,
,2022-06-22 11:19:27.4,2,5.467,6.697,True,711,43.363,NA,,,,,,,
,2022-06-22 11:19:27.6,2,5.467,6.697,True,711,43.015,NA,,,,,,,
,2022-06-22 11:19:27.8,2,5.098,6.311,True,711,42.688,NA,,,,,,,
,2022-06-22 11:19:28.0,2,5.467,6.697,True,711,42.341,NA,,,,,,,
,2022-06-22 11:19:28.2,2,5.467,6.697,True,711,41.992,NA,,,,,,,
,2022-06-22 11:19:28.4,2,5.098,6.311,True,711,41.666,NA,,,,,,,
,2022-06-22 11:19:28.6,2,5.467,6.697,True,711,41.317,NA,,,,,,,
,2022-06-22 11:19:28.8,2,5.467,6.697,True,711,40.970,NA,,,,,,,
,2022-06-22 11:19:29.0,2,5.467,6.697,True,711,40.621,NA,,,,,,,
,2022-06-22 11:19:29.2,2,5.467,6.697,True,711,40.273,NA,,,,,,,
,2022-06-22 11:19:29.4,2,5.467,6.697,True,711,39.925,NA,,,,,,,
,2022-06-22 11:19:29.6,2,5.098,6.311,True,711,39.599,NA,,,,,,,
,2022-06-22 11:19:29.8,2,5.467,6.697,True,711,39.251,NA,,,,,,,
,2022-06-22 11:19:30.0,2,5.098,6.311,True,711,38.924,NA,,,,,,,
,2022-06-22 11:19:30.2,2,5.467,6.697,True,711,38.576,NA,,,,,,,
,2022-06-22 11:19:30.4,2,5.098,6.311,True,711,38.250,NA,,,,,,,
,2022-06-22 11:19:30.6,2,5.467,6.697,True,711,37.901,NA,,,,,,,
,2022-06-22 11:19:30.8,2,5.098,6.311,True,711,37.575,NA,,,,,,,
,2022-06-22 11:19:31.0,2,5.467,6.697,True,711,37.228,NA,,,,,,,
,2022-06-22 11:19:31.2,2,5.098,6.311,True,711,36.900,NA,,,,,,,
,2022-06-22 11:19:31.4,2,5.467,6.697,True,711,36.553,NA,,,,,,,
,2022-06-22 11:19:31.6,2,5.467,6.697,True,711,36.204,NA,,,,,,,
,2022-06-22 11:19:31.8,2,5.098,6.311,True,711,35.878,NA,,,,,,,
,2022-06-22 11:19:32.0,2,5.467,6.697,True,711,35.530,NA,,,,,,,
,2022-06-22 11:19:32.2,2,5.467,6.697,True,711,35.182,NA,,,,,,,
,2022-06-22 11:19:32.4,2,5.098,6.311,True,711,34.855,NA,,,,,,,
,2022-06-22 11:19:32.6,2,5.467,6.697,True,711,34.507,NA,,,,,,,
,2022-06-22 11:19:32.8,2,5.098,6.311,True,711,34.181,NA,,,,,,,
,2022-06-22 11:19:33.0,2,5.098,6.311,True,711,33.854,NA,,,,,,,
,2022-06-22 11:19:33.2,2,5.467,6.697,True,711,33.506,NA,,,,,,,
,2022-06-22 11:19:33.4,2,5.098,6.311,True,711,33.180,NA,,,,,,,
,2022-06-22 11:19:33.6,2,5.098,6.311,True,711,32.854,NA,,,,,,,
,2022-06-22 11:19:33.8,2,5.098,6.311,True,711,32.527,NA,,,,,,,
,2022-06-22 11:19:34.0,2,5.098,6.311,True,711,32.201,NA,,,,,,,
,2022-06-22 11:19:34.2,2,5.098,6.311,True,711,31.874,NA,,,,,,,
,2022-06-22 11:19:34.4,2,5.098,6.311,True,711,31.548,NA,,,,,,,
,2022-06-22 11:19:34.6,2,5.098,6.311,True,711,31.222,NA,,,,,,,
,2022-06-22 11:19:34.8,2,5.098,6.311,True,711,30.896,NA,,,,,,,
,2022-06-22 11:19:35.0,2,5.098,6.311,True,711,30.568,NA,,,,,,,
,2022-06-22 11:19:35.2,2,5.098,6.311,True,711,30.242,NA,,,,,,,
,2022-06-22 11:19:35.4,2,4.711,5.924,True,711,29.938,NA,,,,,,,
,2022-06-22 11:19:35.6,2,5.098,6.311,True,711,29.611,NA,,,,,,,
,2022-06-22 11:19:35.8,2,4.711,5.924,True,711,29.307,NA,,,,,,,
,2022-06-22 11:19:36.0,2,5.098,6.311,True,711,28.980,NA,,,,,,,
,2022-06-22 11:19:36.2,2,4.711,5.924,True,711,28.676,NA,,,,,,,
,2022-06-22 11:19:36.4,2,5.098,6.311,True,711,28.350,NA,,,,,,,
,2022-06-22 11:19:36.6,2,4.711,5.924,True,711,28.045,NA,,,,,,,
,2022-06-22 11:19:36.8,2,4.711,5.924,True,711,27.740,NA,,,,,,,
,2022-06-22 11:19:37.0,2,4.711,5.924,True,711,27.436,NA,,,,,,,
,2022-06-22 11:19:37.2,2,4.711,5.924,True,711,27.131,NA,,,,,,,
,2022-06-22 11:19:37.4,2,4.342,5.520,True,711,26.848,NA,,,,,,,
,2022-06-22 11:19:37.6,2,4.711,5.924,True,711,26.543,NA,,,,,,,
,2022-06-22 11:19:37.8,2,4.342,5.520,True,711,26.261,NA,,,,,,,
,2022-06-22 11:19:38.0,2,4.711,5.924,True,711,25.956,NA,,,,,,,
,2022-06-22 11:19:38.2,2,5.098,6.311,True,711,25.630,NA,,,,,,,
,2022-06-22 11:19:38.4,2,4.711,5.924,True,711,25.325,NA,,,,,,,
,2022-06-22 11:19:38.6,2,4.711,5.924,True,711,25.021,NA,,,,,,,
,2022-06-22 11:19:38.8,2,4.711,5.924,True,711,24.716,NA,,,,,,,
,2022-06-22 11:19:39.0,2,4.711,5.924,True,711,24.411,NA,,,,,,,
,2022-06-22 11:19:39.2,2,4.711,5.924,True,711,24.106,NA,,,,,,,
,2022-06-22 11:19:39.4,2,4.711,5.924,True,711,23.802,NA,,,,,,,
,2022-06-22 11:19:39.6,2,4.711,5.924,True,711,23.497,NA,,,,,,,
